occurred_at,ip_address,lat,lng
2021-06-21 06:17:36.274 UTC,24.28.149.110,,
2021-07-15 00:01:41.341 UTC,24.28.149.110,,
2021-04-05 18:41:29.334 UTC,64.9.255.131,,
2021-06-02 02:13:27.843 UTC,24.28.149.110,,
2021-06-02 02:01:06.965 UTC,24.28.149.110,,
2021-06-02 02:15:04.801 UTC,24.28.149.110,29.4507282,-98.6819994
2021-06-02 02:04:43.693 UTC,24.28.149.110,,
2021-06-06 16:56:11.572 UTC,70.95.128.209,,
2021-11-13 09:14:51.584 UTC,172.58.99.63,,
2021-11-13 09:14:13.822 UTC,103.243.212.172,,
2020-01-11 18:28:11.798 UTC,76.252.236.7,,
2021-09-22 08:48:02.830 UTC,216.252.220.9,,
2021-06-24 17:21:24.770 UTC,24.28.149.110,,
2021-06-24 17:20:53.880 UTC,24.28.149.110,,
2021-06-24 17:20:49.802 UTC,24.28.149.110,,
2021-06-24 20:38:23.692 UTC,24.28.149.110,,
2021-07-16 16:41:26.792 UTC,24.28.149.110,,
2019-12-03 10:02:41.734 UTC,172.58.19.21,,
2021-11-30 03:08:41.369 UTC,24.28.149.110,,
2021-07-19 17:06:31.001 UTC,64.145.65.217,,
2021-06-29 00:34:33.553 UTC,172.58.99.14,29.4678646,-98.5482402
2021-06-29 00:34:07.579 UTC,172.58.99.14,,
2020-01-11 18:28:07.696 UTC,76.252.236.7,,
2018-11-19 10:20:50.330 UTC,70.95.137.12,32.9141468525,-117.138288834
2021-07-06 22:18:54.629 UTC,24.28.149.110,,
2020-04-06 21:14:13.301 UTC,70.95.128.209,,
