pay_period,amount,currency,payout_type,processed_at
2021-10-11 10:00:00 UTC,54,USD,express,2021-10-14 00:57:59 UTC
2021-10-11 10:00:00 UTC,121,USD,express,2021-10-17 01:54:08 UTC
2021-09-13 10:00:00 UTC,112,USD,express,2021-09-16 04:04:00 UTC
2021-11-08 11:00:00 UTC,201,USD,express,2021-11-14 05:56:13 UTC
2021-09-06 10:00:00 UTC,99,USD,express,2021-09-12 05:55:29 UTC
2021-10-18 10:00:00 UTC,103,USD,express,2021-10-24 06:23:06 UTC
2021-10-18 10:00:00 UTC,146,USD,express,2021-10-24 02:12:22 UTC
2021-08-30 10:00:00 UTC,62,USD,express,2021-09-06 00:06:36 UTC
2021-11-22 11:00:00 UTC,245,USD,express,2021-11-27 06:47:12 UTC
2021-08-02 10:00:00 UTC,2,USD,weekly,2021-08-10 13:41:39 UTC
2021-10-04 10:00:00 UTC,43,USD,express,2021-10-04 20:59:04 UTC
2021-10-11 10:00:00 UTC,121,USD,express,2021-10-15 01:36:40 UTC
2021-11-08 11:00:00 UTC,144,USD,express,2021-11-11 07:33:54 UTC
2021-11-15 11:00:00 UTC,49,USD,express,2021-11-21 02:54:36 UTC
2021-08-30 10:00:00 UTC,39,USD,express,2021-08-31 00:10:32 UTC
2021-08-23 10:00:00 UTC,241,USD,express,2021-08-31 00:10:34 UTC
2021-10-18 10:00:00 UTC,241,USD,express,2021-10-23 07:21:53 UTC
2021-07-26 10:00:00 UTC,2,USD,weekly,2021-08-03 13:41:56 UTC
2021-08-02 10:00:00 UTC,132,USD,express,2021-08-04 22:10:45 UTC
2021-08-02 10:00:00 UTC,12,USD,express,2021-08-04 04:35:35 UTC
2021-08-30 10:00:00 UTC,68,USD,express,2021-09-03 00:39:12 UTC
2021-09-13 10:00:00 UTC,142,USD,express,2021-09-18 05:39:25 UTC
2021-11-15 11:00:00 UTC,165,USD,express,2021-11-20 09:18:11 UTC
2021-07-26 10:00:00 UTC,150,USD,express,2021-08-01 02:45:23 UTC
2021-09-13 10:00:00 UTC,221,USD,express,2021-09-17 04:42:01 UTC
2021-09-06 10:00:00 UTC,68,USD,express,2021-09-07 22:36:23 UTC
2021-11-08 11:00:00 UTC,75,USD,express,2021-11-10 02:12:05 UTC
2021-10-04 10:00:00 UTC,103,USD,express,2021-10-09 01:00:22 UTC
2021-09-13 10:00:00 UTC,113,USD,express,2021-09-14 22:12:02 UTC
2021-11-08 11:00:00 UTC,57,USD,express,2021-11-12 02:14:03 UTC
2021-10-11 10:00:00 UTC,114,USD,express,2021-10-16 01:14:32 UTC
2021-11-15 11:00:00 UTC,47,USD,express,2021-11-18 01:27:26 UTC
2021-11-15 11:00:00 UTC,105,USD,express,2021-11-18 07:23:42 UTC
2021-11-22 11:00:00 UTC,65,USD,express,2021-11-25 00:12:59 UTC
2021-10-18 10:00:00 UTC,209,USD,express,2021-10-20 03:40:32 UTC
2021-08-30 10:00:00 UTC,211,USD,express,2021-09-05 08:10:49 UTC
2021-10-25 10:00:00 UTC,127,USD,express,2021-10-26 01:30:27 UTC
2021-11-08 11:00:00 UTC,138,USD,express,2021-11-09 02:39:29 UTC
2021-11-08 11:00:00 UTC,53,USD,express,2021-11-09 04:37:41 UTC
2021-10-04 10:00:00 UTC,86,USD,express,2021-10-06 04:55:50 UTC
2021-11-29 11:00:00 UTC,81,USD,weekly,
2021-10-04 10:00:00 UTC,174,USD,express,2021-10-11 03:02:24 UTC
2021-08-23 10:00:00 UTC,261,USD,express,2021-08-26 04:23:43 UTC
2021-11-22 11:00:00 UTC,122,USD,express,2021-11-22 23:38:25 UTC
