status,requested_timestamp,requested_lat,requested_lng,pickup_timestamp,pickup_address,pickup_lat,pickup_lng,destination_address,dropoff_timestamp,dropoff_lat,dropoff_lng
finished,2021-08-04 19:09:22 UTC,29.518829999999998,-98.46167,2021-08-04 19:12:56 UTC,"8770 Broadway, Lyft Flexdrive",29.51895,-98.46197,"6139 Bandera Rd, San Antonio, TX, United States",2021-08-04 19:29:13 UTC,29.48694,-98.60707
finished,2022-05-14 23:32:21 UTC,37.779354999999995,-122.39108700000001,2022-05-14 23:36:44 UTC,"138 King St, San Francisco, CA 94107, United States",37.779146,-122.391099,"601 19th St, San Francisco, CA, United States",2022-05-14 23:42:10 UTC,37.76175,-122.38895
finished,2021-06-19 03:38:49 UTC,29.48698,-98.66845,2021-06-19 03:47:11 UTC,"9427 Culebra Rd, San Antonio, TX, United States",29.48703,-98.66847,"9914 Military Dr W, San Antonio, TX, United States",2021-06-19 03:56:40 UTC,29.45048,-98.68197
finished,2022-05-19 14:58:16 UTC,29.462164,-98.62339200000001,2022-05-19 15:04:58 UTC,"6772 Ingram Rd, San Antonio, TX, United States",29.46227,-98.6232,"9914 Military Dr W, San Antonio, TX, United States",2022-05-19 15:10:51 UTC,29.451575,-98.682258
finished,2021-06-24 16:52:33 UTC,29.592579999999998,-98.59653,2021-06-24 16:54:46 UTC,"5611 N Loop 1604 W, San Antonio, TX, United States",29.5926,-98.5964,"9914 Military Dr W, San Antonio, TX, United States",2021-06-24 17:13:02 UTC,29.45144,-98.68234
finished,2021-06-17 12:30:15 UTC,29.45053,-98.68126,2021-06-17 12:37:10 UTC,"9914 W Military Dr, San Antonio, TX, United States",29.45144,-98.68237,"9427 Culebra Rd, San Antonio, TX, United States",2021-06-17 12:46:57 UTC,29.48693,-98.668
finished,2021-06-22 17:27:30 UTC,29.45157,-98.6823,2021-06-22 17:32:24 UTC,"10131 Military Dr W, San Antonio, TX 78251, United States",29.45138,-98.68242,"9427 Culebra Rd, San Antonio, TX, United States",2021-06-22 17:42:14 UTC,29.487,-98.66855
finished,2021-06-17 16:27:56 UTC,29.48698,-98.66845,2021-06-17 16:36:16 UTC,"9427 Culebra Rd, San Antonio, TX, United States",29.48703,-98.66846,"9914 Military Dr W, San Antonio, TX, United States",2021-06-17 16:46:50 UTC,29.45049,-98.68197
finished,2022-05-19 17:46:40 UTC,29.435367,-98.698409,2022-05-19 17:50:29 UTC,"10430 Potranco Rd, San Antonio, TX 78251, United States",29.43541,-98.69836,"10307 Military Dr W, San Antonio, TX 78251, United States",2022-05-19 17:55:27 UTC,29.45056,-98.683349
finished,2021-06-22 20:13:23 UTC,29.486520000000002,-98.66645,2021-06-22 20:18:43 UTC,"5515 Tezel Rd, San Antonio, TX 78250, US",29.48627,-98.66637,"9914 Military Dr W, San Antonio, TX, United States",2021-06-22 20:28:55 UTC,29.45054,-98.68185
