pay_period,amount,currency,payout_type,processed_at
2022-01-10 11:00:00 UTC,112,USD,express,2022-01-15 04:57:17 UTC
2021-11-15 11:00:00 UTC,47,USD,express,2021-11-18 01:27:26 UTC
2021-11-15 11:00:00 UTC,105,USD,express,2021-11-18 07:23:42 UTC
2021-10-11 10:00:00 UTC,97,USD,express,2021-10-19 10:34:30 UTC
2021-10-18 10:00:00 UTC,4,USD,express,2021-10-19 10:34:28 UTC
2022-02-07 11:00:00 UTC,58,USD,express,2022-02-10 20:57:35 UTC
2021-12-06 11:00:00 UTC,106,USD,express,2021-12-07 04:45:41 UTC
2021-11-29 11:00:00 UTC,3,USD,express,2021-12-07 04:45:38 UTC
2021-12-06 11:00:00 UTC,260,USD,express,2021-12-11 08:38:06 UTC
2022-01-31 11:00:00 UTC,8,USD,express,2022-02-01 21:19:11 UTC
2022-01-31 11:00:00 UTC,181,USD,express,2022-02-03 08:54:54 UTC
2022-01-31 11:00:00 UTC,107,USD,express,2022-02-03 02:48:06 UTC
2021-10-11 10:00:00 UTC,54,USD,express,2021-10-14 00:57:59 UTC
2022-05-30 10:00:00 UTC,6,USD,instant,2022-06-03 23:14:26 UTC
2022-05-30 10:00:00 UTC,2,USD,instant,2022-06-03 01:26:45 UTC
2022-05-30 10:00:00 UTC,5,USD,instant,2022-06-03 04:25:36 UTC
2022-05-30 10:00:00 UTC,2,USD,instant,2022-06-03 01:02:29 UTC
2022-05-30 10:00:00 UTC,2,USD,instant,2022-06-03 06:31:48 UTC
2022-05-30 10:00:00 UTC,26,USD,instant,2022-06-03 21:41:45 UTC
2022-05-30 10:00:00 UTC,3,USD,instant,2022-06-03 22:47:44 UTC
2022-05-30 10:00:00 UTC,5,USD,instant,2022-06-03 22:36:49 UTC
2022-05-30 10:00:00 UTC,3,USD,instant,2022-06-03 04:58:59 UTC
2022-05-30 10:00:00 UTC,8,USD,instant,2022-06-03 19:35:25 UTC
2022-05-30 10:00:00 UTC,5,USD,instant,2022-06-03 00:20:11 UTC
2022-05-30 10:00:00 UTC,4,USD,instant,2022-06-03 04:26:54 UTC
2022-05-30 10:00:00 UTC,3,USD,instant,2022-06-03 07:21:16 UTC
2022-05-30 10:00:00 UTC,3,USD,instant,2022-06-03 00:29:15 UTC
2022-05-30 10:00:00 UTC,7,USD,instant,2022-06-03 03:35:05 UTC
2022-05-30 10:00:00 UTC,2,USD,instant,2022-06-03 01:41:18 UTC
2022-05-30 10:00:00 UTC,2,USD,instant,2022-06-03 03:09:17 UTC
2022-05-30 10:00:00 UTC,3,USD,instant,2022-06-03 06:07:19 UTC
2022-05-30 10:00:00 UTC,10,USD,instant,2022-06-03 07:02:09 UTC
2022-05-30 10:00:00 UTC,8,USD,instant,2022-06-03 04:23:56 UTC
2022-05-30 10:00:00 UTC,8,USD,instant,2022-06-03 20:05:05 UTC
2022-05-30 10:00:00 UTC,4,USD,instant,2022-06-03 02:37:10 UTC
2022-05-30 10:00:00 UTC,4,USD,instant,2022-06-03 20:28:07 UTC
2022-05-30 10:00:00 UTC,3,USD,instant,2022-06-03 02:46:30 UTC
2022-05-30 10:00:00 UTC,5,USD,instant,2022-06-03 05:56:09 UTC
2022-05-30 10:00:00 UTC,4,USD,instant,2022-06-03 01:58:58 UTC
2022-05-30 10:00:00 UTC,3,USD,instant,2022-06-03 05:35:36 UTC
2022-05-30 10:00:00 UTC,5,USD,instant,2022-06-03 05:33:39 UTC
2022-05-30 10:00:00 UTC,3,USD,instant,2022-06-03 20:43:12 UTC
2022-05-30 10:00:00 UTC,9,USD,instant,2022-06-03 02:26:49 UTC
2022-05-30 10:00:00 UTC,3,USD,instant,2022-06-03 02:10:28 UTC
2022-03-28 10:00:00 UTC,192,USD,express,2022-04-01 03:21:33 UTC
2022-01-24 11:00:00 UTC,62,USD,express,2022-01-31 00:14:47 UTC
2021-11-22 11:00:00 UTC,245,USD,express,2021-11-27 06:47:12 UTC
2021-11-29 11:00:00 UTC,226,USD,express,2021-12-05 09:40:23 UTC
2022-05-16 10:00:00 UTC,123,USD,weekly,2022-05-24 13:48:03 UTC
2021-11-08 11:00:00 UTC,13,USD,weekly,2021-11-16 15:06:14 UTC
2021-11-29 11:00:00 UTC,104,USD,express,2021-11-30 11:15:18 UTC
2021-11-29 11:00:00 UTC,102,USD,express,2021-11-30 20:26:52 UTC
2021-11-22 11:00:00 UTC,2,USD,express,2021-11-30 11:15:16 UTC
2022-04-04 10:00:00 UTC,90,USD,express,2022-04-07 22:30:26 UTC
2022-02-28 11:00:00 UTC,167,USD,express,2022-03-06 05:59:12 UTC
2022-03-07 11:00:00 UTC,36,USD,express,2022-03-11 19:08:43 UTC
2022-03-07 11:00:00 UTC,77,USD,express,2022-03-11 22:50:42 UTC
2022-05-30 10:00:00 UTC,2,USD,instant,2022-06-02 16:36:38 UTC
2022-03-21 10:00:00 UTC,51,USD,express,2022-03-24 21:41:49 UTC
2022-02-21 11:00:00 UTC,110,USD,express,2022-02-24 00:19:54 UTC
2022-03-07 11:00:00 UTC,137,USD,express,2022-03-10 00:33:57 UTC
2022-03-28 10:00:00 UTC,126,USD,express,2022-03-28 22:41:21 UTC
2022-05-30 10:00:00 UTC,3,USD,instant,2022-06-01 20:50:45 UTC
2022-05-30 10:00:00 UTC,6,USD,instant,2022-06-01 20:20:41 UTC
2022-05-30 10:00:00 UTC,7,USD,instant,2022-06-01 22:04:03 UTC
2022-05-30 10:00:00 UTC,10,USD,instant,2022-06-01 22:32:12 UTC
2022-05-30 10:00:00 UTC,16,USD,instant,2022-06-01 19:17:07 UTC
2022-05-30 10:00:00 UTC,3,USD,instant,2022-06-01 19:56:51 UTC
2022-05-30 10:00:00 UTC,22,USD,instant,2022-06-01 23:11:01 UTC
2022-05-30 10:00:00 UTC,4,USD,instant,2022-06-01 21:41:15 UTC
2022-05-30 10:00:00 UTC,13,USD,instant,2022-06-01 21:25:03 UTC
2022-05-30 10:00:00 UTC,8,USD,instant,2022-06-01 18:41:08 UTC
2021-11-15 11:00:00 UTC,165,USD,express,2021-11-20 09:18:11 UTC
2022-05-23 10:00:00 UTC,4,USD,instant,2022-05-30 00:03:53 UTC
2022-05-23 10:00:00 UTC,12,USD,instant,2022-05-30 00:01:36 UTC
2022-05-23 10:00:00 UTC,4,USD,instant,2022-05-30 01:15:13 UTC
2022-05-23 10:00:00 UTC,3,USD,instant,2022-05-30 01:01:44 UTC
2022-05-23 10:00:00 UTC,2,USD,instant,2022-05-30 00:46:18 UTC
2022-05-23 10:00:00 UTC,7,USD,instant,2022-05-30 05:51:58 UTC
2022-05-23 10:00:00 UTC,3,USD,instant,2022-05-30 02:13:18 UTC
2022-05-23 10:00:00 UTC,4,USD,instant,2022-05-30 04:55:08 UTC
2022-05-23 10:00:00 UTC,5,USD,instant,2022-05-30 02:52:17 UTC
2022-05-23 10:00:00 UTC,3,USD,instant,2022-05-30 04:17:08 UTC
2022-05-23 10:00:00 UTC,159,USD,instant,2022-05-30 02:13:22 UTC
2022-05-23 10:00:00 UTC,10,USD,instant,2022-05-30 02:51:48 UTC
2022-05-23 10:00:00 UTC,18,USD,instant,2022-05-30 02:37:33 UTC
2022-05-23 10:00:00 UTC,4,USD,instant,2022-05-30 00:16:50 UTC
2022-05-23 10:00:00 UTC,2,USD,instant,2022-05-30 02:33:41 UTC
2022-05-23 10:00:00 UTC,2,USD,instant,2022-05-30 07:59:59 UTC
2022-05-23 10:00:00 UTC,15,USD,instant,2022-05-30 01:42:37 UTC
2022-05-23 10:00:00 UTC,5,USD,instant,2022-05-30 02:01:27 UTC
2022-05-23 10:00:00 UTC,12,USD,instant,2022-05-30 02:33:13 UTC
2022-05-23 10:00:00 UTC,18,USD,instant,2022-05-30 00:56:09 UTC
2022-05-23 10:00:00 UTC,10,USD,instant,2022-05-30 00:47:19 UTC
2022-01-03 11:00:00 UTC,83,USD,express,2022-01-07 04:46:56 UTC
2022-02-07 11:00:00 UTC,23,USD,express,2022-02-08 20:13:29 UTC
2022-02-07 11:00:00 UTC,16,USD,express,2022-02-08 00:04:56 UTC
2022-02-21 11:00:00 UTC,6,USD,weekly,2022-03-01 15:16:45 UTC
2022-01-31 11:00:00 UTC,198,USD,express,2022-02-05 06:16:08 UTC
2021-08-16 10:00:00 UTC,139,USD,express,2021-08-20 03:12:00 UTC
2021-10-04 10:00:00 UTC,106,USD,express,2021-10-08 03:18:05 UTC
2021-10-04 10:00:00 UTC,86,USD,express,2021-10-06 04:55:50 UTC
2022-01-31 11:00:00 UTC,49,USD,express,2022-02-06 05:29:51 UTC
2022-01-31 11:00:00 UTC,46,USD,express,2022-02-06 21:06:20 UTC
2022-01-31 11:00:00 UTC,59,USD,express,2022-02-06 23:16:08 UTC
2022-01-31 11:00:00 UTC,193,USD,express,2022-02-06 02:27:05 UTC
2021-10-04 10:00:00 UTC,77,USD,express,2021-10-07 00:02:25 UTC
2021-10-04 10:00:00 UTC,174,USD,express,2021-10-11 03:02:24 UTC
2021-10-04 10:00:00 UTC,43,USD,express,2021-10-04 20:59:04 UTC
2021-10-18 10:00:00 UTC,107,USD,express,2021-10-21 15:35:42 UTC
2021-08-16 10:00:00 UTC,149,USD,express,2021-08-21 06:22:10 UTC
2021-08-16 10:00:00 UTC,35,USD,express,2021-08-21 22:34:06 UTC
2021-12-27 11:00:00 UTC,224,USD,express,2021-12-30 07:10:46 UTC
2021-10-18 10:00:00 UTC,146,USD,express,2021-10-24 02:12:22 UTC
