call_completed_at,to_user_role,from_user_role
2022-03-30 18:52:14.309,passenger,driver
2021-08-30 19:55:54.187,passenger,driver
2021-10-15 21:25:31.074,passenger,driver
2021-06-29 02:27:49.052,passenger,driver
2021-11-23 21:48:50.015,passenger,driver
2021-09-22 19:11:08.924,passenger,driver
2022-03-18 22:18:52.474,passenger,driver
2021-09-22 18:27:07.215,passenger,driver
2021-10-08 21:00:42.066,passenger,driver
2022-01-02 00:49:35.525,passenger,driver
2021-11-14 04:36:31.644,passenger,driver
2021-11-29 01:14:36.687,passenger,driver
2021-09-22 18:26:23.891,passenger,driver
2021-10-08 21:26:33.184,passenger,driver
2021-11-08 21:12:41.436,passenger,driver
2021-09-22 18:28:36.543,passenger,driver
2022-03-09 22:17:40.865,passenger,driver
2021-09-07 20:00:43.725,passenger,driver
2021-07-02 04:06:16.364,passenger,driver
2021-07-27 22:11:04.287,passenger,driver
2021-07-04 02:26:23.251,passenger,driver
2021-12-26 04:02:27.504,passenger,driver
2021-10-08 01:49:15.514,passenger,driver
2022-04-11 19:06:37.475,passenger,driver
2022-01-25 04:47:30.568,passenger,driver
2021-09-22 19:23:50.596,passenger,driver
2021-11-19 06:10:23.967,passenger,driver
2022-03-17 22:56:03.487,passenger,driver
2021-07-02 19:52:06.725,passenger,driver
2021-09-07 19:33:09.878,passenger,driver
2022-02-03 17:40:52.700,passenger,driver
2021-12-10 02:39:18.514,passenger,driver
2021-07-02 18:43:55.822,passenger,driver
2021-10-11 23:06:58.301,passenger,driver
2021-09-17 02:11:38.314,passenger,driver
2022-02-02 19:26:13.579,passenger,driver
2022-02-08 19:16:48.540,passenger,driver
2021-09-12 01:37:02.003,passenger,driver
2022-01-14 01:10:22.043,passenger,driver
2021-07-18 04:21:27.711,passenger,driver
