message_delivered_at,message_body,to_user_role,from_user_role
2022-03-17 21:27:56.703 UTC,On my way,passenger,driver
2022-01-02 03:57:53.594 UTC,Sounds good,passenger,driver
2021-09-22 20:20:15.437 UTC,Stuck in traffic,passenger,driver
2022-03-06 04:16:13.756 UTC,"Gate code, please?",passenger,driver
2021-10-05 21:15:33.018 UTC,OK,passenger,driver
2022-03-15 21:57:22.911 UTC,Sounds good,passenger,driver
2021-12-31 23:37:19.881 UTC,"she's grabbing her phone, no worries",passenger,driver
2021-10-17 01:12:18.685 UTC,"I can't get pictures in the app, I'll find her",passenger,driver
2021-10-09 00:26:53.185 UTC,"Gate code, please?",passenger,driver
2021-08-25 20:17:56.332 UTC,Sounds good,passenger,driver
2022-02-07 23:48:16.851 UTC,Sounds good,passenger,driver
2021-09-18 23:31:48.294 UTC,I'm outside unit 1901,passenger,driver
2022-01-02 01:42:45.529 UTC,no worries,passenger,driver
2022-03-03 10:31:10.989 UTC,"I keep trying, with the pound sign, is there another way?",passenger,driver
2022-02-10 18:26:09.838 UTC,Sounds good,passenger,driver
2021-09-17 04:01:36.735 UTC,On my way,passenger,driver
2022-01-05 00:34:31.084 UTC,Stuck in traffic,passenger,driver
2021-12-11 23:49:42.719 UTC,"Gate code, please?",passenger,driver
2021-08-30 19:56:47.117 UTC,"the gps has you in the middle of the street, I'm at the Valero. it's there a business you are at that I can come to?",passenger,driver
2022-03-31 23:11:30.703 UTC,Sounds good,passenger,driver
2021-11-13 04:29:12.806 UTC,I have to loop around I might be a few minutes,passenger,driver
2021-11-24 03:43:09.903 UTC,"Gate code, please?",passenger,driver
2022-04-07 18:28:43.574 UTC,I'm outside of Health Texas in a white Kia soul,passenger,driver
2022-03-17 22:50:05.393 UTC,Sounds good,passenger,driver
2021-12-06 23:52:36.802 UTC,yes. I apologize I didn't hit the Arrive button,passenger,driver
2022-01-23 04:24:59.380 UTC,OK,passenger,driver
2021-09-05 01:31:44.038 UTC,Stuck in traffic,passenger,driver
2022-01-16 02:56:55.223 UTC,Sounds good,passenger,driver
2022-01-02 05:40:09.230 UTC,white,passenger,driver
2022-02-03 02:02:16.079 UTC,where I parked across from the restaurant,passenger,driver
2021-09-05 01:31:48.109 UTC,I'll be there ASAP,passenger,driver
2021-10-21 02:04:14.954 UTC,OK,passenger,driver
2021-12-30 06:05:28.441 UTC,almost to you,passenger,driver
2021-11-09 22:24:13.292 UTC,Sounds good,passenger,driver
2021-12-11 00:31:52.585 UTC,Sounds good,passenger,driver
2022-06-01 20:10:14.993 UTC,Sounds good,passenger,driver
2021-10-25 21:30:21.425 UTC,Sounds good,passenger,driver
2021-11-11 01:47:02.996 UTC,"Gate code, please?",passenger,driver
