,requested_timestamp,requested_lat,requested_lng,pickup_timestamp,pickup_lat,pickup_lng,dropoff_timestamp,dropoff_lat,dropoff_lng
0,2021-06-22 17:27:30 UTC,29.45157,-98.6823,2021-06-22 17:32:24 UTC,29.45138,-98.68242,2021-06-22 17:42:14 UTC,29.487,-98.66855
1,2021-06-17 12:30:15 UTC,29.45053,-98.68126,2021-06-17 12:37:10 UTC,29.45144,-98.68237,2021-06-17 12:46:57 UTC,29.48693,-98.668
2,2021-06-28 16:23:06 UTC,29.45143,-98.68234,2021-06-28 16:29:24 UTC,29.45137,-98.68241,2021-06-28 16:50:33 UTC,29.5189,-98.46186
3,2021-06-18 17:19:58 UTC,29.45049,-98.68197,2021-06-18 17:29:28 UTC,29.45144,-98.68239,2021-06-18 17:38:02 UTC,29.48694,-98.66891
4,2021-06-02 13:12:03 UTC,29.45157,-98.68229,2021-06-02 13:18:12 UTC,29.45139,-98.68239,2021-06-02 13:36:28 UTC,29.52729,-98.47281
5,2021-06-24 16:52:33 UTC,29.59258,-98.59653,2021-06-24 16:54:46 UTC,29.5926,-98.5964,2021-06-24 17:13:02 UTC,29.45144,-98.68234
7,2021-06-17 16:27:56 UTC,29.48698,-98.66845,2021-06-17 16:36:16 UTC,29.48703,-98.66846,2021-06-17 16:46:50 UTC,29.45049,-98.68197
8,2021-06-01 19:13:27 UTC,29.49035,-98.62206,2021-06-01 19:15:11 UTC,29.49024,-98.62192,2021-06-01 19:26:48 UTC,29.45124,-98.68265
9,2021-06-19 03:38:49 UTC,29.48698,-98.66845,2021-06-19 03:47:11 UTC,29.48703,-98.66847,2021-06-19 03:56:40 UTC,29.45048,-98.68197
10,2021-06-24 15:55:49 UTC,29.45049,-98.68197,2021-06-24 15:59:36 UTC,29.45147,-98.68239,2021-06-24 16:16:29 UTC,29.59258,-98.59653
11,2021-06-22 20:13:23 UTC,29.48652,-98.66645,2021-06-22 20:18:43 UTC,29.48627,-98.66637,2021-06-22 20:28:55 UTC,29.45054,-98.68185
12,2021-06-16 19:53:51 UTC,29.47546,-98.60911,2021-06-16 20:02:18 UTC,29.4756,-98.60914,2021-06-16 20:13:14 UTC,29.45159,-98.6825
